web-scraper-order,web-scraper-start-url,category,category-href,name,price_in_dollar,calories
"1608225604-572","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","Nachos BellGrande® Combo","6.69","1350"
"1608225484-468","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Cinnamon Twists","1.00","170"
"1608225645-585","https://www.tacobell.com/food","New","https://www.tacobell.com/food/new","Toasted Cheddar Chalupa","2.99","490"
"1608225529-507","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Happier Hour® Beverage","1.00","280"
"1608225645-586","https://www.tacobell.com/food","New","https://www.tacobell.com/food/new","Black Bean Toasted Cheddar Chalupa","2.99","470"
"1608225552-525","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Power Menu Bowl - Veggie","5.49","430"
"1608225593-542","https://www.tacobell.com/food","Nachos","https://www.tacobell.com/food/nachos","Veggie Nachos Party Pack","9.99","1770"
"1608225532-511","https://www.tacobell.com/food","Sides & Sweets","https://www.tacobell.com/food/sides-sweets","Cinnabon Delights® 2 Pack","1.29","160"
"1608225604-574","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","3 Crunchy Tacos Supreme® Combo","6.59","990"
"1608225600-554","https://www.tacobell.com/food","Tacos","https://www.tacobell.com/food/tacos","Soft Taco Supreme®","1.79","210"
"1608225573-540","https://www.tacobell.com/food","Quesadillas","https://www.tacobell.com/food/quesadillas","Black Bean Quesarito","3.19","630"
"1608225552-530","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Crunchy Taco","1.29","170"
"1608225624-581","https://www.tacobell.com/food","Online Exclusives","https://www.tacobell.com/food/online-exclusives","Quesarito","3.19","650"
"1608225600-563","https://www.tacobell.com/food","Tacos","https://www.tacobell.com/food/tacos","Supreme Taco Party Pack","15.99","190"
"1608225443-451","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Cinnabon Delights® 12 Pack","4.99","930"
"1608225508-479","https://www.tacobell.com/food","GROUPS","https://www.tacobell.com/food/party-packs","Nachos Party Pack","9.99","2050"
"1608225552-522","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Crunchwrap Supreme®","3.69","530"
"1608225600-560","https://www.tacobell.com/food","Tacos","https://www.tacobell.com/food/tacos","Nacho Cheese Doritos® Locos Tacos Supreme®","2.39","190"
"1608225552-524","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Power Menu Bowl","5.49","470"
"1608225552-533","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Quesarito","3.19","650"
"1608225443-442","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Hash Brown Toasted Breakfast Burrito","1.99","570"
"1608225552-519","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Black Bean Chalupa","3.29","330"
